Commercial,Ville,Région,Client,Date de commande,Article,Quantité,Prix,Chiffre d'affaire,Bénéfice
Sara Snyder,Minnesota,Est,Gregory Thompson,15/7/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,Indiana,Est,Eugene Hayes,15/7/2016,Things,9,"17,83","160,47","31,5"
Diane Gonzalez,Oregon,Ouest,Brian Roberts,15/7/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,Nevada,Ouest,Paula Watson,15/7/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Indiana,Est,Rachel Larson,15/7/2016,Junk,9,"12,42","111,78",18
Frances Warren,Minnesota,Est,Matthew Carter,15/7/2016,Widgets,4,"53,35","213,4",24
Patrick Graham,Oregon,Ouest,Clarence Bishop,15/7/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Minnesota,Est,Linda Morrison,15/7/2016,Junk,8,"12,42","99,36",16
Randy Watson,New York,Est,Janice Jackson,15/7/2016,Widgets,9,"53,35","480,15",54
Patrick Graham,Oregon,Ouest,Donald Ryan,15/7/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,Minnesota,Est,Kevin Torres,15/7/2016,Widgets,5,"53,35","266,75",30
Randy Watson,New York,Est,Marilyn Martin,16/7/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Minnesota,Est,Juan Olson,16/7/2016,Stuff,6,"16,32","97,92",18
Frances Warren,New York,Est,Nicholas Howell,16/7/2016,Junk,2,"12,42","24,84",4
Sara Snyder,New York,Est,Cynthia Brooks,16/7/2016,Stuff,10,"16,32","163,2",30
Patrick Graham,Oregon,Ouest,Jean Griffin,16/7/2016,Things,3,"17,83","53,49","10,5"
Randy Watson,New York,Est,Juan Reed,16/7/2016,Junk,10,"12,42","124,2",20
Sara Snyder,New York,Est,Anna Wheeler,16/7/2016,Junk,6,"12,42","74,52",12
Frances Warren,New York,Est,Anthony Berry,16/7/2016,Things,8,"17,83","142,64",28
Patrick Graham,Nevada,Ouest,John Simpson,16/7/2016,Junk,2,"12,42","24,84",4
Randy Watson,New York,Est,Frances Campbell,16/7/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,New York,Est,Janice Jackson,16/7/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Washington,Ouest,Mildred Hernandez,16/7/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Oregon,Ouest,Julie Gonzalez,17/7/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,New York,Est,Katherine Mcdonald,17/7/2016,Stuff,3,"16,32","48,96",9
Sara Snyder,New York,Est,Nicholas Howell,17/7/2016,Junk,6,"12,42","74,52",12
Patrick Graham,California,Ouest,Adam Martin,17/7/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Minnesota,Est,Linda Morrison,17/7/2016,Things,10,"17,83","178,3",35
Frances Warren,New York,Est,Richard Walker,17/7/2016,Widgets,4,"53,35","213,4",24
Patrick Graham,Oregon,Ouest,Julie Gonzalez,17/7/2016,Widgets,5,"53,35","266,75",30
Patrick Graham,California,Ouest,Diane Lewis,17/7/2016,Junk,4,"12,42","49,68",8
Frances Warren,Alabama,Est,Katherine Carroll,17/7/2016,Stuff,4,"16,32","65,28",12
Frances Warren,Minnesota,Est,Gary Young,17/7/2016,Junk,6,"12,42","74,52",12
Diane Gonzalez,Washington,Ouest,Paula Ross,17/7/2016,Stuff,8,"16,32","130,56",24
Sara Snyder,Minnesota,Est,William Payne,17/7/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Minnesota,Est,Harold Rodriguez,17/7/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Frances Lane,17/7/2016,Widgets,7,"53,35","373,45",42
Randy Watson,New York,Est,Eric Stanley,17/7/2016,Widgets,2,"53,35","106,7",12
Patrick Graham,Oregon,Ouest,Michelle Phillips,17/7/2016,Junk,1,"12,42","12,42",2
Randy Watson,Minnesota,Est,Carolyn Scott,17/7/2016,Junk,10,"12,42","124,2",20
Patrick Graham,Oregon,Ouest,Julie Gonzalez,18/7/2016,Junk,4,"12,42","49,68",8
Frances Warren,New York,Est,Kimberly Morris,18/7/2016,Junk,9,"12,42","111,78",18
Sara Snyder,Minnesota,Est,Jennifer White,18/7/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,Minnesota,Est,Walter Meyer,18/7/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Juan Olson,18/7/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,California,Ouest,Evelyn Elliott,18/7/2016,Stuff,10,"16,32","163,2",30
Frances Warren,Minnesota,Est,Linda Morrison,18/7/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Indiana,Est,Martha Mills,18/7/2016,Stuff,5,"16,32","81,6",15
Sara Snyder,New York,Est,Roy Collins,18/7/2016,Stuff,3,"16,32","48,96",9
Sara Snyder,Minnesota,Est,Paul Perkins,18/7/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Aaron Morris,18/7/2016,Widgets,4,"53,35","213,4",24
Patrick Graham,California,Ouest,Sandra Bowman,18/7/2016,Things,4,"17,83","71,32",14
Sara Snyder,New York,Est,Stephen Hicks,18/7/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Indiana,Est,Peter Brown,18/7/2016,Junk,7,"12,42","86,94",14
Patrick Graham,California,Ouest,Judy Lopez,18/7/2016,Junk,2,"12,42","24,84",4
Randy Watson,Minnesota,Est,Roy Rivera,18/7/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,New York,Est,Nicholas Howell,19/7/2016,Things,2,"17,83","35,66",7
Sara Snyder,Minnesota,Est,Walter Meyer,19/7/2016,Stuff,3,"16,32","48,96",9
Sara Snyder,Alabama,Est,Brandon Morales,19/7/2016,Stuff,2,"16,32","32,64",6
Frances Warren,Indiana,Est,Marilyn Patterson,19/7/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Minnesota,Est,Jason Patterson,19/7/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,New York,Est,Bonnie Wagner,19/7/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Minnesota,Est,Amy Carr,19/7/2016,Stuff,2,"16,32","32,64",6
Diane Gonzalez,Oregon,Ouest,Michelle Phillips,19/7/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,New York,Est,Lillian Wood,19/7/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,Indiana,Est,Jennifer Simpson,19/7/2016,Junk,4,"12,42","49,68",8
Randy Watson,New York,Est,Jimmy Bailey,19/7/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Washington,Ouest,Jerry Collins,19/7/2016,Junk,9,"12,42","111,78",18
Patrick Graham,Oregon,Ouest,Julie Gonzalez,19/7/2016,Things,6,"17,83","106,98",21
Sara Snyder,New York,Est,Edward Cooper,19/7/2016,Things,2,"17,83","35,66",7
Patrick Graham,Washington,Ouest,Jean Stephens,19/7/2016,Widgets,6,"53,35","320,1",36
Patrick Graham,Washington,Ouest,Paula Ross,19/7/2016,Things,9,"17,83","160,47","31,5"
Randy Watson,New York,Est,Tammy Ferguson,20/7/2016,Junk,5,"12,42","62,1",10
Sara Snyder,New York,Est,Teresa Thomas,20/7/2016,Things,8,"17,83","142,64",28
Diane Gonzalez,Washington,Ouest,Charles Montgomery,20/7/2016,Junk,6,"12,42","74,52",12
Sara Snyder,New York,Est,Joshua Campbell,20/7/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Jeremy Richards,20/7/2016,Junk,9,"12,42","111,78",18
Patrick Graham,California,Ouest,Martha Bell,20/7/2016,Junk,10,"12,42","124,2",20
Patrick Graham,California,Ouest,Sandra Bowman,20/7/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,New York,Est,Kenneth Fernandez,20/7/2016,Junk,10,"12,42","124,2",20
Sara Snyder,Indiana,Est,Joshua Washington,20/7/2016,Junk,5,"12,42","62,1",10
Randy Watson,Minnesota,Est,Beverly Hamilton,20/7/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Brandon King,20/7/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Ryan Alvarez,20/7/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Oregon,Ouest,Rachel Harris,20/7/2016,Stuff,10,"16,32","163,2",30
Patrick Graham,California,Ouest,Sandra Bowman,20/7/2016,Junk,8,"12,42","99,36",16
Frances Warren,New York,Est,Linda Rose,20/7/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,Indiana,Est,Kelly Daniels,20/7/2016,Junk,10,"12,42","124,2",20
Randy Watson,Indiana,Est,Anthony Ruiz,20/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Minnesota,Est,Jean Fowler,20/7/2016,Stuff,7,"16,32","114,24",21
Patrick Graham,Nevada,Ouest,Sandra Hughes,20/7/2016,Junk,5,"12,42","62,1",10
Randy Watson,New York,Est,Heather Andrews,20/7/2016,Widgets,8,"53,35","426,8",48
Randy Watson,Indiana,Est,Rachel Larson,21/7/2016,Things,4,"17,83","71,32",14
Patrick Graham,Oregon,Ouest,Kenneth West,21/7/2016,Widgets,8,"53,35","426,8",48
Patrick Graham,Oregon,Ouest,Ruby Taylor,21/7/2016,Widgets,2,"53,35","106,7",12
Randy Watson,Indiana,Est,Ashley Adams,21/7/2016,Widgets,2,"53,35","106,7",12
Diane Gonzalez,Washington,Ouest,George Hill,21/7/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,Alabama,Est,Russell Romero,21/7/2016,Junk,5,"12,42","62,1",10
Patrick Graham,California,Ouest,Rebecca Ryan,21/7/2016,Things,9,"17,83","160,47","31,5"
Diane Gonzalez,Washington,Ouest,Christine Jacobs,21/7/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Minnesota,Est,Carolyn Vasquez,21/7/2016,Stuff,9,"16,32","146,88",27
Randy Watson,New York,Est,Juan Reed,21/7/2016,Widgets,8,"53,35","426,8",48
Patrick Graham,California,Ouest,Angela Fowler,21/7/2016,Junk,9,"12,42","111,78",18
Randy Watson,Indiana,Est,Lisa Thomas,21/7/2016,Stuff,10,"16,32","163,2",30
Patrick Graham,Washington,Ouest,Angela Sullivan,22/7/2016,Junk,7,"12,42","86,94",14
Diane Gonzalez,Oregon,Ouest,Marilyn Franklin,22/7/2016,Widgets,2,"53,35","106,7",12
Diane Gonzalez,California,Ouest,Harold Duncan,22/7/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Washington,Ouest,Annie Jenkins,22/7/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,New York,Est,Eugene Wilson,22/7/2016,Junk,2,"12,42","24,84",4
Patrick Graham,Oregon,Ouest,Jeremy Diaz,22/7/2016,Junk,10,"12,42","124,2",20
Patrick Graham,Washington,Ouest,Stephen Murray,23/7/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Indiana,Est,Laura Wells,23/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,New York,Est,Judith Woods,23/7/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,New York,Est,Richard Walker,23/7/2016,Things,4,"17,83","71,32",14
Diane Gonzalez,California,Ouest,Edward Foster,23/7/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Indiana,Est,Eugene Hayes,23/7/2016,Stuff,8,"16,32","130,56",24
Randy Watson,Indiana,Est,Michelle Henderson,23/7/2016,Things,2,"17,83","35,66",7
Sara Snyder,Minnesota,Est,Alice Davis,23/7/2016,Junk,6,"12,42","74,52",12
Randy Watson,New York,Est,Juan Reed,23/7/2016,Widgets,9,"53,35","480,15",54
Randy Watson,Minnesota,Est,Janice Mason,23/7/2016,Things,10,"17,83","178,3",35
Patrick Graham,Washington,Ouest,Gloria Morris,23/7/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Indiana,Est,Adam Russell,23/7/2016,Things,5,"17,83","89,15","17,5"
Patrick Graham,Washington,Ouest,Aaron Boyd,23/7/2016,Things,8,"17,83","142,64",28
Sara Snyder,Indiana,Est,Adam Russell,23/7/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,Minnesota,Est,Virginia Foster,23/7/2016,Junk,8,"12,42","99,36",16
Sara Snyder,New York,Est,Jerry Pierce,23/7/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,Washington,Ouest,Jason Berry,24/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Adam Russell,24/7/2016,Things,5,"17,83","89,15","17,5"
Frances Warren,Indiana,Est,Raymond Freeman,24/7/2016,Stuff,7,"16,32","114,24",21
Frances Warren,New York,Est,Frances Campbell,24/7/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Kevin Barnes,24/7/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Jerry Smith,24/7/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Minnesota,Est,Randy West,24/7/2016,Widgets,9,"53,35","480,15",54
Diane Gonzalez,Washington,Ouest,Christine Jacobs,24/7/2016,Junk,9,"12,42","111,78",18
Patrick Graham,California,Ouest,Tina Schmidt,24/7/2016,Things,8,"17,83","142,64",28
Patrick Graham,Washington,Ouest,Gary Cook,25/7/2016,Junk,1,"12,42","12,42",2
Frances Warren,New York,Est,Ruby Matthews,25/7/2016,Stuff,6,"16,32","97,92",18
Sara Snyder,Minnesota,Est,Jason Patterson,25/7/2016,Junk,8,"12,42","99,36",16
Randy Watson,Minnesota,Est,Juan Olson,25/7/2016,Junk,10,"12,42","124,2",20
Randy Watson,Minnesota,Est,Wanda Cole,25/7/2016,Things,2,"17,83","35,66",7
Frances Warren,Minnesota,Est,Walter Kennedy,25/7/2016,Junk,9,"12,42","111,78",18
Patrick Graham,California,Ouest,Steven Stewart,25/7/2016,Widgets,6,"53,35","320,1",36
Diane Gonzalez,Washington,Ouest,Ernest Hernandez,25/7/2016,Things,2,"17,83","35,66",7
Randy Watson,Indiana,Est,Benjamin Spencer,25/7/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Oregon,Ouest,Rose Moreno,25/7/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,Minnesota,Est,Michael Foster,25/7/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Indiana,Est,Rachel Larson,25/7/2016,Things,3,"17,83","53,49","10,5"
Diane Gonzalez,Oregon,Ouest,Lillian Howard,25/7/2016,Junk,9,"12,42","111,78",18
Diane Gonzalez,Washington,Ouest,Margaret James,25/7/2016,Widgets,8,"53,35","426,8",48
Sara Snyder,Indiana,Est,Benjamin Willis,25/7/2016,Widgets,3,"53,35","160,05",18
Diane Gonzalez,Washington,Ouest,Cheryl Morris,25/7/2016,Junk,2,"12,42","24,84",4
Sara Snyder,New York,Est,Judith Warren,25/7/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Indiana,Est,Lois Woods,26/7/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Nevada,Ouest,John Simpson,26/7/2016,Widgets,3,"53,35","160,05",18
Patrick Graham,California,Ouest,Laura Gutierrez,26/7/2016,Widgets,7,"53,35","373,45",42
Sara Snyder,Alabama,Est,Ashley Olson,26/7/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,New York,Est,Joan Harvey,26/7/2016,Things,5,"17,83","89,15","17,5"
Diane Gonzalez,Nevada,Ouest,Doris Diaz,26/7/2016,Stuff,6,"16,32","97,92",18
Frances Warren,New York,Est,Mark Rogers,26/7/2016,Junk,6,"12,42","74,52",12
Diane Gonzalez,Nevada,Ouest,Donna Williams,26/7/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Washington,Ouest,Ruth Day,26/7/2016,Widgets,5,"53,35","266,75",30
Sara Snyder,Minnesota,Est,Juan Olson,26/7/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Nevada,Ouest,Rachel Dunn,26/7/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Alabama,Est,Phyllis Grant,26/7/2016,Widgets,10,"53,35","533,5",60
Sara Snyder,Alabama,Est,Russell Romero,26/7/2016,Stuff,1,"16,32","16,32",3
Frances Warren,Minnesota,Est,Martha Brown,26/7/2016,Things,7,"17,83","124,81","24,5"
Frances Warren,Alabama,Est,Anna Franklin,26/7/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Indiana,Est,Kathy Rice,26/7/2016,Stuff,2,"16,32","32,64",6
Patrick Graham,Washington,Ouest,Aaron Boyd,26/7/2016,Widgets,9,"53,35","480,15",54
Randy Watson,New York,Est,Phyllis Ward,26/7/2016,Stuff,2,"16,32","32,64",6
Randy Watson,New York,Est,Mark Rogers,26/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,New York,Est,Joe Ryan,26/7/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,Minnesota,Est,Mary Nelson,26/7/2016,Stuff,10,"16,32","163,2",30
Patrick Graham,Oregon,Ouest,Alice Taylor,26/7/2016,Junk,6,"12,42","74,52",12
Frances Warren,New York,Est,Gloria Harper,27/7/2016,Junk,4,"12,42","49,68",8
Frances Warren,New York,Est,Tammy Ferguson,27/7/2016,Stuff,2,"16,32","32,64",6
Sara Snyder,New York,Est,Eric Stanley,27/7/2016,Widgets,9,"53,35","480,15",54
Randy Watson,Indiana,Est,Tammy Hart,27/7/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,Minnesota,Est,Phillip Johnston,27/7/2016,Junk,4,"12,42","49,68",8
Patrick Graham,Washington,Ouest,Annie Jenkins,27/7/2016,Junk,9,"12,42","111,78",18
Randy Watson,Indiana,Est,David Allen,27/7/2016,Things,7,"17,83","124,81","24,5"
Sara Snyder,New York,Est,Lori Collins,27/7/2016,Junk,7,"12,42","86,94",14
Diane Gonzalez,California,Ouest,Joan Robinson,27/7/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,New York,Est,Tina Jones,27/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,New York,Est,Peter Gilbert,27/7/2016,Things,10,"17,83","178,3",35
Sara Snyder,New York,Est,Annie Wilson,27/7/2016,Junk,4,"12,42","49,68",8
Frances Warren,Indiana,Est,Keith Berry,27/7/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,New York,Est,Jeffrey Miller,27/7/2016,Widgets,8,"53,35","426,8",48
Diane Gonzalez,Washington,Ouest,Stephanie Wallace,27/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Judith Wood,27/7/2016,Things,10,"17,83","178,3",35
Patrick Graham,Washington,Ouest,Kenneth Gomez,28/7/2016,Junk,5,"12,42","62,1",10
Frances Warren,Indiana,Est,Michelle Henderson,28/7/2016,Stuff,10,"16,32","163,2",30
Sara Snyder,Minnesota,Est,Albert Cook,28/7/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,Indiana,Est,Jennifer Simpson,28/7/2016,Junk,6,"12,42","74,52",12
Sara Snyder,New York,Est,Lillian Wood,28/7/2016,Junk,3,"12,42","37,26",6
Sara Snyder,Minnesota,Est,Mary Nelson,28/7/2016,Junk,2,"12,42","24,84",4
Sara Snyder,Minnesota,Est,Alice Davis,28/7/2016,Stuff,3,"16,32","48,96",9
Patrick Graham,Oregon,Ouest,Carl Lawson,28/7/2016,Junk,7,"12,42","86,94",14
Frances Warren,Alabama,Est,Irene Franklin,28/7/2016,Widgets,10,"53,35","533,5",60
Frances Warren,New York,Est,Kimberly Adams,28/7/2016,Things,1,"17,83","17,83","3,5"
Sara Snyder,Indiana,Est,Benjamin Spencer,28/7/2016,Widgets,1,"53,35","53,35",6
Patrick Graham,Washington,Ouest,Emily Matthews,29/7/2016,Stuff,7,"16,32","114,24",21
Sara Snyder,Minnesota,Est,Frances Lane,29/7/2016,Junk,5,"12,42","62,1",10
Sara Snyder,Indiana,Est,Judy Carpenter,29/7/2016,Things,7,"17,83","124,81","24,5"
Diane Gonzalez,Oregon,Ouest,Lois Fernandez,29/7/2016,Junk,6,"12,42","74,52",12
Patrick Graham,California,Ouest,Jacqueline Little,29/7/2016,Stuff,3,"16,32","48,96",9
Frances Warren,New York,Est,Dorothy Patterson,29/7/2016,Things,4,"17,83","71,32",14
Diane Gonzalez,Washington,Ouest,Denise Henry,29/7/2016,Things,1,"17,83","17,83","3,5"
Randy Watson,Minnesota,Est,Joe Russell,29/7/2016,Widgets,6,"53,35","320,1",36
Frances Warren,New York,Est,Kenneth Lane,29/7/2016,Junk,7,"12,42","86,94",14
Frances Warren,Minnesota,Est,Carl Ford,29/7/2016,Stuff,9,"16,32","146,88",27
Patrick Graham,Washington,Ouest,Paula Ross,29/7/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,Minnesota,Est,Cheryl Williamson,29/7/2016,Junk,8,"12,42","99,36",16
Diane Gonzalez,Oregon,Ouest,Henry Stanley,29/7/2016,Junk,8,"12,42","99,36",16
Sara Snyder,Minnesota,Est,Joe Russell,29/7/2016,Things,2,"17,83","35,66",7
Frances Warren,Alabama,Est,Marilyn Perry,29/7/2016,Junk,7,"12,42","86,94",14
Patrick Graham,Washington,Ouest,Jeremy Baker,29/7/2016,Stuff,3,"16,32","48,96",9
Diane Gonzalez,Washington,Ouest,Ernest Carter,29/7/2016,Junk,3,"12,42","37,26",6
Randy Watson,Indiana,Est,Robert Collins,29/7/2016,Junk,8,"12,42","99,36",16
Frances Warren,New York,Est,Ruby Matthews,29/7/2016,Junk,9,"12,42","111,78",18
Randy Watson,Indiana,Est,Cynthia Lewis,29/7/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,Minnesota,Est,Carolyn Vasquez,29/7/2016,Junk,4,"12,42","49,68",8
Sara Snyder,Minnesota,Est,Steven Kelly,29/7/2016,Widgets,8,"53,35","426,8",48
Diane Gonzalez,Nevada,Ouest,Doris Diaz,30/7/2016,Widgets,1,"53,35","53,35",6
Randy Watson,Minnesota,Est,Steven Miller,30/7/2016,Stuff,5,"16,32","81,6",15
Sara Snyder,New York,Est,Jane Sims,30/7/2016,Junk,3,"12,42","37,26",6
Sara Snyder,New York,Est,Louise Frazier,30/7/2016,Widgets,1,"53,35","53,35",6
Sara Snyder,Indiana,Est,Jennifer Simpson,30/7/2016,Stuff,3,"16,32","48,96",9
Frances Warren,Minnesota,Est,Linda Morrison,30/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Minnesota,Est,Walter Kennedy,30/7/2016,Widgets,10,"53,35","533,5",60
Patrick Graham,Oregon,Ouest,Brian Bryant,30/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,New York,Est,Jessica Lewis,30/7/2016,Things,3,"17,83","53,49","10,5"
Sara Snyder,Indiana,Est,Laura Wells,30/7/2016,Things,5,"17,83","89,15","17,5"
Diane Gonzalez,California,Ouest,Joan Robinson,30/7/2016,Things,1,"17,83","17,83","3,5"
Diane Gonzalez,Oregon,Ouest,Alan Cole,30/7/2016,Stuff,10,"16,32","163,2",30
Frances Warren,New York,Est,Joshua Campbell,30/7/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,Washington,Ouest,Susan Jacobs,30/7/2016,Widgets,2,"53,35","106,7",12
Frances Warren,Minnesota,Est,Jacqueline Hart,30/7/2016,Things,5,"17,83","89,15","17,5"
Sara Snyder,New York,Est,Roy Collins,30/7/2016,Things,9,"17,83","160,47","31,5"
Sara Snyder,Indiana,Est,Heather Larson,31/7/2016,Widgets,1,"53,35","53,35",6
Randy Watson,Minnesota,Est,Gregory Thompson,31/7/2016,Junk,3,"12,42","37,26",6
Diane Gonzalez,Washington,Ouest,Shirley Chavez,31/7/2016,Things,6,"17,83","106,98",21
Patrick Graham,Washington,Ouest,Gloria Morris,31/7/2016,Widgets,6,"53,35","320,1",36
Sara Snyder,New York,Est,Judith Warren,31/7/2016,Things,7,"17,83","124,81","24,5"
Diane Gonzalez,California,Ouest,Adam Garza,31/7/2016,Junk,7,"12,42","86,94",14
Sara Snyder,Indiana,Est,Dorothy Baker,31/7/2016,Junk,6,"12,42","74,52",12
Sara Snyder,Minnesota,Est,Antonio Hunter,31/7/2016,Stuff,1,"16,32","16,32",3
Patrick Graham,Oregon,Ouest,Jeremy Diaz,31/7/2016,Widgets,4,"53,35","213,4",24
Sara Snyder,Alabama,Est,Sandra Meyer,31/7/2016,Things,3,"17,83","53,49","10,5"
Patrick Graham,Oregon,Ouest,Henry Stanley,31/7/2016,Junk,5,"12,42","62,1",10
Patrick Graham,Washington,Ouest,Susan Gomez,31/7/2016,Junk,4,"12,42","49,68",8
Sara Snyder,New York,Est,Nicholas Howell,31/7/2016,Junk,9,"12,42","111,78",18
Randy Watson,Minnesota,Est,Jason Patterson,31/7/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,Oregon,Ouest,Henry Stanley,31/7/2016,Widgets,9,"53,35","480,15",54
Sara Snyder,Minnesota,Est,Carl Ford,31/7/2016,Junk,6,"12,42","74,52",12
Patrick Graham,Oregon,Ouest,Alice Taylor,31/7/2016,Widgets,1,"53,35","53,35",6
Frances Warren,Minnesota,Est,Mary Nelson,1/8/2016,Stuff,7,"16,32","114,24",21
Patrick Graham,Washington,Ouest,Karen Willis,1/8/2016,Widgets,3,"53,35","160,05",18
Sara Snyder,New York,Est,Eugene Wilson,1/8/2016,Things,8,"17,83","142,64",28
Sara Snyder,Minnesota,Est,Janice Mason,1/8/2016,Things,4,"17,83","71,32",14
Sara Snyder,Indiana,Est,Brian Ryan,1/8/2016,Stuff,1,"16,32","16,32",3
Sara Snyder,New York,Est,Albert Miller,1/8/2016,Junk,4,"12,42","49,68",8
Patrick Graham,California,Ouest,Diana Hamilton,1/8/2016,Things,2,"17,83","35,66",7
Sara Snyder,New York,Est,Cynthia Ray,2/8/2016,Widgets,2,"53,35","106,7",12
Sara Snyder,Minnesota,Est,Phillip Young,2/8/2016,Junk,5,"12,42","62,1",10
Patrick Graham,Washington,Ouest,Ernest Carter,2/8/2016,Stuff,5,"16,32","81,6",15
Sara Snyder,New York,Est,Cynthia Brooks,2/8/2016,Things,4,"17,83","71,32",14
Sara Snyder,Alabama,Est,Maria Long,2/8/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Nevada,Ouest,Kimberly Bennett,2/8/2016,Junk,3,"12,42","37,26",6
Diane Gonzalez,California,Ouest,Ann Hall,2/8/2016,Widgets,7,"53,35","373,45",42
Patrick Graham,Washington,Ouest,Craig Thomas,2/8/2016,Stuff,3,"16,32","48,96",9
Patrick Graham,Oregon,Ouest,Gloria Oliver,2/8/2016,Junk,6,"12,42","74,52",12
Diane Gonzalez,Washington,Ouest,Jennifer Adams,2/8/2016,Junk,7,"12,42","86,94",14
Frances Warren,Indiana,Est,Joshua Washington,2/8/2016,Things,7,"17,83","124,81","24,5"
Randy Watson,Minnesota,Est,Louise Green,2/8/2016,Stuff,1,"16,32","16,32",3
Frances Warren,Indiana,Est,Cheryl Howard,2/8/2016,Junk,1,"12,42","12,42",2
Randy Watson,New York,Est,Shirley Murray,2/8/2016,Stuff,9,"16,32","146,88",27
Diane Gonzalez,California,Ouest,Joan Robinson,3/8/2016,Stuff,7,"16,32","114,24",21
Patrick Graham,Washington,Ouest,Stephanie Wallace,3/8/2016,Stuff,8,"16,32","130,56",24
Randy Watson,Minnesota,Est,Randy West,3/8/2016,Junk,4,"12,42","49,68",8
Diane Gonzalez,Washington,Ouest,Jennifer Adams,3/8/2016,Stuff,4,"16,32","65,28",12
Sara Snyder,Indiana,Est,Judith Wood,3/8/2016,Stuff,5,"16,32","81,6",15
Sara Snyder,New York,Est,Jimmy Bailey,3/8/2016,Junk,1,"12,42","12,42",2
Patrick Graham,Nevada,Ouest,Craig Lewis,3/8/2016,Junk,5,"12,42","62,1",10
Sara Snyder,New York,Est,Roger Freeman,3/8/2016,Junk,10,"12,42","124,2",20
